"idea","description","tag","category"
"show and tell — three <em>weird</em> possessions each.","Defend their honour. Vote on the strangest. The story behind it matters more than the object itself; that's always true.","playful & personal","virtual"
"take an online language class and be <em>terrible</em> together.","Pick a language neither of us speaks. Weird Youtube video is best. Embarassing yet fun.","long & playful","virtual"
"build a shared playlist, <em>turn</em> by turn.","Take turns adding songs. No skipping. The rules are sacred. The playlist will be strange and personal and exactly right.","easy & creative","virtual"
"truth or drink — or truth or <em>tea</em>.","There's a deck for this. Or just make up the questions. Drinks are optional; the questions are the whole point.","personal & playful","virtual"
"virtual paint night with the <em>same</em> reference.","Same reference photo, two attempts, no peeking. Reveal at the end. The worse we are at painting, the better this works.","creative & easy","virtual"
"walk a foreign city via <em>street view</em>.","Pick a city we'd both like to visit (but likely will not). Walk the streets together from our couches. Make notes for the real trip we'll never take.","cultural & free","virtual"
"documentary watch-along, with <em>pauses</em>.","Pause every twenty minutes to discuss. Pick something niche — obscure history works best. Surprise ourselves with what you both know. Or don't","cosy & slow","virtual"
"serious online game, video on, <em>trash</em> talk allowed.","Scrabble, chess, I can't think of others right now. Keep the camera on. Half the game are the faces we make unintentionally.","competitive & easy","virtual"
"solve a virtual <em>escape</em> room together.","There are lots of these now. Pick one, share a screen, don't Google the answers. The arguing is the whole pleasure.","playful & long","virtual"
"co-write a story, one <em>sentence</em> at a time.","Open a Google Doc. Take turns. End up somewhere strange (though likely gay). The rule is: no editing each other's sentences. Only adding.","creative & slow","virtual"
"karaoke over video — <em>commit</em>.","Smule exists. So does just queueing up YouTube karaoke and embarrassing ourselves. The trick is going first.","brave & playful","virtual"
"take a weird <em>class</em> together.","Pick the most absurd one; free, of course. Commit to one full lesson. Take notes. Learning is enrichment.","long & slow","virtual"
"plan an <em>imaginary</em> (for now) trip in detail.","Shared Pinterest board. Make an itinerary. Cost it out. We wont't go. Or maybe we will someday! Either way, it's a real evening together.","creative & slow","virtual"
"trivia night — just the <em>two</em> of us.","Free apps abound. Or take turns asking questions on a chosen topic. The arguments over the answers are better than the questions.","easy & competitive","virtual"
"get the same lego set and <em>race</em>.","Build together over video. The first one done has to plan the next date. The slower one usually does it better, anyway.","long & playful","virtual"
"read a <em>chapter</em> aloud to each other.","Take turns. Find a book that makes us both smile. Even ten minutes occasionally is enough; it'll last weeks. That's the point.","quiet & slow","virtual"
"an hour-long photo <em>scavenger</em> hunt.","Make a list together. We each take an hour to find everything around our house or neighbourhood. Reveal photos at the end. Score generously.","playful & active","virtual"
"tarot night — <em>believe</em> or don't.","One reads, the other listens. Switch. Believe none of it, or all of it. The cards are mostly an excuse to talk about our week.","quiet & personal","virtual"
"watch the same weird <em>youtube</em> rabbit hole.","Pick a topic — competitive duck herding, Soviet animation, anything. Take turns sending the next video. Time passes instantly.","easy & playful","virtual"
